alias,checkpoint,step,next_step,x,y,inner_loss_mean,inner_loss_delta_mean,read_loss_mean,read_loss_delta_mean,example_count
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.0,-3.0,6943.16015625,5881.59130859375,2.349463939666748,-2.1714770793914795,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.5,-3.0,6075.4921875,5013.92333984375,1.87808358669281,-2.642857313156128,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,3.0,-3.0,5330.97607421875,4269.4072265625,1.4739826917648315,-3.0469582080841064,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-3.0,-2.5,9344.7939453125,8283.2236328125,5.064767360687256,0.5438265204429626,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.5,-2.5,9315.359375,8253.791015625,4.9933977127075195,0.47245654463768005,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.0,-2.5,9225.2392578125,8163.669921875,4.9530158042907715,0.4320749044418335,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.5,-2.5,9050.8857421875,7989.31787109375,4.760582447052002,0.2396412342786789,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.0,-2.5,8924.3173828125,7862.74658203125,4.54210901260376,0.021168112754821777,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-0.5,-2.5,8833.923828125,7772.35546875,3.866537094116211,-0.6544041633605957,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.0,-2.5,8644.828125,7583.25927734375,3.4862213134765625,-1.034719705581665,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.5,-2.5,8475.0126953125,7413.44482421875,3.1940367221832275,-1.326904296875,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.0,-2.5,8079.12255859375,7017.55322265625,2.789691925048828,-1.731249213218689,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.5,-2.5,7278.751953125,6217.18310546875,1.9736562967300415,-2.5472843647003174,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.0,-2.5,6254.62744140625,5193.05859375,2.011547088623047,-2.5093936920166016,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.5,-2.5,5341.36962890625,4279.80126953125,1.4605306386947632,-3.060410737991333,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,3.0,-2.5,4646.20361328125,3584.634765625,1.0107353925704956,-3.5102055072784424,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-3.0,-2.0,9338.6533203125,8277.083984375,5.159463405609131,0.6385225653648376,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.5,-2.0,9356.6162109375,8295.046875,5.0799946784973145,0.5590539574623108,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.0,-2.0,9322.9375,8261.3681640625,5.0183634757995605,0.49742206931114197,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.5,-2.0,9189.8623046875,8128.29443359375,4.9642791748046875,0.4433383047580719,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.0,-2.0,8961.724609375,7900.15625,4.698388576507568,0.1774473935365677,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-0.5,-2.0,8851.67578125,7790.10595703125,4.035073280334473,-0.4858677089214325,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.0,-2.0,8635.8095703125,7574.240234375,3.4842188358306885,-1.0367218255996704,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.5,-2.0,8396.0927734375,7334.52392578125,3.225229024887085,-1.2957117557525635,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.0,-2.0,7696.658203125,6635.08984375,2.22208571434021,-2.2988550662994385,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.5,-2.0,6526.15380859375,5464.58447265625,2.228494882583618,-2.2924461364746094,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.0,-2.0,5357.216796875,4295.64697265625,1.4400898218154907,-3.0808513164520264,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.5,-2.0,4512.16748046875,3450.598876953125,0.8942937850952148,-3.6266472339630127,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,3.0,-2.0,3952.917236328125,2891.347900390625,0.47997570037841797,-4.040965557098389,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-3.0,-1.5,9311.8916015625,8250.3232421875,5.253564357757568,0.7326235771179199,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.5,-1.5,9341.5146484375,8279.9453125,5.191917896270752,0.6709771156311035,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.0,-1.5,9370.3486328125,8308.7802734375,5.10675573348999,0.5858144164085388,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.5,-1.5,9335.3671875,8273.796875,5.0622429847717285,0.541301965713501,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.0,-1.5,9122.4423828125,8060.873046875,4.904882907867432,0.38394197821617126,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-0.5,-1.5,8863.171875,7801.603515625,4.372525691986084,-0.14841480553150177,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.0,-1.5,8621.2646484375,7559.6953125,3.474316358566284,-1.046624779701233,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.5,-1.5,8238.7724609375,7177.20361328125,2.995185136795044,-1.525755524635315,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.0,-1.5,6980.20263671875,5918.6328125,2.362499237060547,-2.1584417819976807,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.5,-1.5,5383.30322265625,4321.73388671875,1.405552864074707,-3.1153881549835205,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.0,-1.5,4312.056640625,3250.487548828125,0.6738418936729431,-3.8470990657806396,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.5,-1.5,3716.795654296875,2655.226806640625,0.2724509537220001,-4.248489856719971,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,3.0,-1.5,3387.9345703125,2326.365478515625,0.14370542764663696,-4.377234935760498,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-3.0,-1.0,9310.9716796875,8249.40234375,5.305924415588379,0.7849836349487305,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.5,-1.0,9325.037109375,8263.4677734375,5.272896766662598,0.7519556879997253,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.0,-1.0,9348.4267578125,8286.857421875,5.227468013763428,0.7065267562866211,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.5,-1.0,9384.9560546875,8323.38671875,5.149229526519775,0.6282882690429688,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.0,-1.0,9360.1826171875,8298.6142578125,5.108104705810547,0.5871633291244507,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-0.5,-1.0,8935.4130859375,7873.84375,4.754283428192139,0.2333422303199768,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.0,-1.0,8592.482421875,7530.91357421875,3.4300172328948975,-1.0909239053726196,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.5,-1.0,7698.71533203125,6637.14697265625,2.0886876583099365,-2.432253122329712,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.0,-1.0,5427.89794921875,4366.32861328125,1.3479596376419067,-3.172981023788452,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.5,-1.0,3992.827392578125,2931.258544921875,0.3306204378604889,-4.1903204917907715,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.0,-1.0,3407.576904296875,2346.007568359375,0.07454965263605118,-4.446391582489014,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,2.5,-1.0,3134.1201171875,2072.55126953125,0.0421551875770092,-4.478785991668701,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,3.0,-1.0,2995.800048828125,1934.2310791015625,0.05291395261883736,-4.468027114868164,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-3.0,-0.5,9340.6630859375,8279.0947265625,5.314412593841553,0.793471097946167,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.5,-0.5,9349.9541015625,8288.384765625,5.304361820220947,0.7834212183952332,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-2.0,-0.5,9364.595703125,8303.0283203125,5.292483806610107,0.7715427875518799,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.5,-0.5,9387.7705078125,8326.2021484375,5.253078460693359,0.7321376204490662,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-1.0,-0.5,9422.9931640625,8361.4248046875,5.18670654296875,0.6657655835151672,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,-0.5,-0.5,9331.7353515625,8270.1669921875,5.006778240203857,0.48583731055259705,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.0,-0.5,8545.2158203125,7483.64697265625,3.296076774597168,-1.2248640060424805,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,0.5,-0.5,5480.68017578125,4419.111328125,1.3556445837020874,-3.1652965545654297,12
plateau-init,/cephfs/home/mkairov/gradim/energy_shaping/runs/mix-N8-K2V2-V62_1M/energygradmem_llama_L4H4D256_mem8_K2_ilr0.4_energy_grad_second_stepalign0.1_iread0.1_bs_64_lr_1e-04_fp32/run_2_unfinished/checkpoint-534500,0,1,1.0,-0.5,3440.156982421875,2378.58837890625,0.011516355909407139,-4.509424686431885,12
